Date;Price;Change %
May 19/2021;22.18;3.94%
May 18/2021;21.34;8.22%
May 17/2021;19.72;4.84%
May 14/2021;18.81;-18.68%
May 13/2021;23.13;-16.17%
May 12/2021;27.59;26.33%
May 11/2021;21.84;11.09%
May 10/2021;19.66;17.80%
May 07/2021;16.69;-9.24%
May 06/2021;18.39;-3.97%
May 05/2021;19.15;-1.69%
May 04/2021;19.48;6.39%
May 03/2021;18.31;-1.61%
Apr 30/2021;18.61;5.68%
Apr 29/2021;17.61;1.91%
Apr 28/2021;17.28;-1.59%
Apr 27/2021;17.56;-0.45%
Apr 26/2021;17.64;1.79%
Apr 23/2021;17.33;-7.38%
Apr 22/2021;18.71;6.91%
Apr 21/2021;17.50;-6.32%
Apr 20/2021;18.68;8.04%
Apr 19/2021;17.29;6.40%
Apr 16/2021;16.25;-1.93%
Apr 15/2021;16.57;-2.47%
Apr 14/2021;16.99;2.04%
Apr 13/2021;16.65;-1.54%
Apr 12/2021;16.91;1.32%
Apr 09/2021;16.69;-1.53%
Apr 08/2021;16.95;-1.22%
Apr 07/2021;17.16;-5.30%
Apr 06/2021;18.12;1.17%
Apr 05/2021;17.91;3.35%
Apr 02/2021;17.33;0.00%
Apr 01/2021;17.33;-10.67%
Mar 31/2021;19.40;-1.07%
Mar 30/2021;19.61;-5.45%
Mar 29/2021;20.74;9.97%
Mar 26/2021;18.86;-4.80%
Mar 25/2021;19.81;-6.56%
Mar 24/2021;21.20;4.43%
Mar 23/2021;20.30;7.52%
Mar 22/2021;18.88;-9.88%
Mar 19/2021;20.95;-2.92%
Mar 18/2021;21.58;12.22%
Mar 17/2021;19.23;-2.83%
Mar 16/2021;19.79;-1.20%
Mar 15/2021;20.03;-3.19%
Mar 12/2021;20.69;-5.57%
Mar 11/2021;21.91;-2.88%
Mar 10/2021;22.56;-6.12%
Mar 09/2021;24.03;-5.65%
Mar 08/2021;25.47;3.28%
Mar 05/2021;24.66;-13.69%
Mar 04/2021;28.57;7.12%
Mar 03/2021;26.67;10.66%
Mar 02/2021;24.10;3.21%
Mar 01/2021;23.35;-16.46%
Feb 26/2021;27.95;-3.25%
Feb 25/2021;28.89;35.38%
Feb 24/2021;21.34;-7.66%
Feb 23/2021;23.11;-1.45%
Feb 22/2021;23.45;6.35%
Feb 19/2021;22.05;-1.96%
Feb 18/2021;22.49;4.60%
Feb 17/2021;21.50;0.19%
Feb 16/2021;21.46;7.46%
Feb 12/2021;19.97;-6.02%
Feb 11/2021;21.25;-3.37%
Feb 10/2021;21.99;1.66%
Feb 09/2021;21.63;1.84%
Feb 08/2021;21.24;1.77%
Feb 05/2021;20.87;-4.13%
Feb 04/2021;21.77;-4.98%
Feb 03/2021;22.91;-10.37%
Feb 02/2021;25.56;-15.48%
Feb 01/2021;30.24;-8.61%
Jan 29/2021;33.09;9.53%
Jan 28/2021;30.21;-18.81%
Jan 27/2021;37.21;61.64%
Jan 26/2021;23.02;-0.73%
Jan 25/2021;23.19;5.84%
Jan 22/2021;21.91;2.77%
Jan 21/2021;21.32;-1.20%
Jan 20/2021;21.58;-7.14%
Jan 19/2021;23.24;-4.52%
Jan 15/2021;24.34;4.69%
Jan 14/2021;23.25;4.68%
Jan 13/2021;22.21;-4.80%
Jan 12/2021;23.33;-3.11%
Jan 11/2021;24.08;11.69%
Jan 08/2021;21.56;-3.62%
Jan 07/2021;22.37;-10.77%
Jan 06/2021;25.07;-1.07%
Jan 05/2021;25.34;-6.04%
Jan 04/2021;26.97;18.55%
Dec 31/2020;22.75;-0.09%
Dec 30/2020;22.77;-1.34%
Dec 29/2020;23.08;6.36%
Dec 28/2020;21.70;0.79%
Dec 25/2020;21.53;0.00%
Dec 24/2020;21.53;-7.64%
Dec 23/2020;23.31;-3.80%
Dec 22/2020;24.23;-3.70%
Dec 21/2020;25.16;16.64%
Dec 18/2020;21.57;-1.64%
Dec 17/2020;21.93;-2.53%
Dec 16/2020;22.50;-1.70%
Dec 15/2020;22.89;-7.40%
Dec 14/2020;24.72;6.05%
Dec 11/2020;23.31;3.51%
Dec 10/2020;22.52;1.12%
Dec 09/2020;22.27;7.69%
Dec 08/2020;20.68;-2.91%
Dec 07/2020;21.30;2.45%
Dec 04/2020;20.79;-2.30%
Dec 03/2020;21.28;0.52%
Dec 02/2020;21.17;1.93%
Dec 01/2020;20.77;0.97%
Nov 30/2020;20.57;-1.30%
Nov 27/2020;20.84;-1.93%
Nov 26/2020;21.25;0.00%
Nov 25/2020;21.25;-1.80%
Nov 24/2020;21.64;-4.50%
Nov 23/2020;22.66;-4.39%
Nov 20/2020;23.70;2.55%
Nov 19/2020;23.11;-3.06%
Nov 18/2020;23.84;4.98%
Nov 17/2020;22.71;1.16%
Nov 16/2020;22.45;-2.81%
Nov 13/2020;23.10;-8.88%
Nov 12/2020;25.35;8.10%
Nov 11/2020;23.45;-5.44%
Nov 10/2020;24.80;-3.69%
Nov 09/2020;25.75;3.58%
Nov 06/2020;24.86;-9.86%
Nov 05/2020;27.58;-6.73%
Nov 04/2020;29.57;-16.82%
Nov 03/2020;35.55;-4.26%
Nov 02/2020;37.13;-2.34%
Oct 30/2020;38.02;1.14%
Oct 29/2020;37.59;-6.68%
Oct 28/2020;40.28;20.78%
Oct 27/2020;33.35;2.74%
Oct 26/2020;32.46;17.82%
Oct 23/2020;27.55;-1.99%
Oct 22/2020;28.11;-1.88%
Oct 21/2020;28.65;-2.39%
Oct 20/2020;29.35;0.58%
Oct 19/2020;29.18;6.46%
Oct 16/2020;27.41;1.63%
Oct 15/2020;26.97;2.16%
Oct 14/2020;26.40;1.27%
Oct 13/2020;26.07;3.99%
Oct 12/2020;25.07;0.28%
Oct 09/2020;25.00;-5.16%
Oct 08/2020;26.36;-6.06%
Oct 07/2020;28.06;-4.82%
Oct 06/2020;29.48;5.44%
Oct 05/2020;27.96;1.19%
Oct 02/2020;27.63;3.48%
Oct 01/2020;26.70;1.25%
Sep 30/2020;26.37;0.38%
Sep 29/2020;26.27;0.31%
Sep 28/2020;26.19;-0.72%
Sep 25/2020;26.38;-7.47%
Sep 24/2020;28.51;-0.24%
Sep 23/2020;28.58;6.40%
Sep 22/2020;26.86;-3.31%
Sep 21/2020;27.78;7.55%
Sep 18/2020;25.83;-2.38%
Sep 17/2020;26.46;1.61%
Sep 16/2020;26.04;1.76%
Sep 15/2020;25.59;-1.01%
Sep 14/2020;25.85;-3.80%
Sep 11/2020;26.87;-9.56%
Sep 10/2020;29.71;3.12%
Sep 09/2020;28.81;-8.42%
Sep 08/2020;31.46;2.31%
Sep 04/2020;30.75;-8.48%
Sep 03/2020;33.60;26.46%
Sep 02/2020;26.57;1.72%
Sep 01/2020;26.12;-1.10%
Aug 31/2020;26.41;15.03%
Aug 28/2020;22.96;-6.17%
Aug 27/2020;24.47;5.16%
Aug 26/2020;23.27;5.63%
Aug 25/2020;22.03;-1.52%
Aug 24/2020;22.37;-0.75%
Aug 21/2020;22.54;-0.79%
Aug 20/2020;22.72;0.80%
Aug 19/2020;22.54;4.79%
Aug 18/2020;21.51;0.75%
Aug 17/2020;21.35;-3.17%
Aug 14/2020;22.05;-0.36%
Aug 13/2020;22.13;-0.67%
Aug 12/2020;22.28;-7.28%
Aug 11/2020;24.03;8.59%
Aug 10/2020;22.13;-0.36%
Aug 07/2020;22.21;-1.94%
Aug 06/2020;22.65;-1.48%
Aug 05/2020;22.99;-3.24%
Aug 04/2020;23.76;-2.14%
Aug 03/2020;24.28;-0.74%
Jul 31/2020;24.46;-1.21%
Jul 30/2020;24.76;2.74%
Jul 29/2020;24.10;-5.27%
Jul 28/2020;25.44;2.83%
Jul 27/2020;24.74;-4.26%
Jul 24/2020;25.84;-0.92%
Jul 23/2020;26.08;7.24%
Jul 22/2020;24.32;-2.09%
Jul 21/2020;24.84;1.55%
Jul 20/2020;24.46;-4.75%
Jul 17/2020;25.68;-8.29%
Jul 16/2020;28.00;0.86%
Jul 15/2020;27.76;-5.96%
Jul 14/2020;29.52;-8.29%
Jul 13/2020;32.19;17.96%
Jul 10/2020;27.29;-6.73%
Jul 09/2020;29.26;4.20%
Jul 08/2020;28.08;-4.59%
Jul 07/2020;29.43;5.33%
Jul 06/2020;27.94;0.94%
Jul 03/2020;27.68;0.00%
Jul 02/2020;27.68;-3.28%
Jul 01/2020;28.62;-5.95%
Jun 30/2020;30.43;-4.25%
Jun 29/2020;31.78;-8.49%
Jun 26/2020;34.73;7.79%
Jun 25/2020;32.22;-4.79%
Jun 24/2020;33.84;7.87%
Jun 23/2020;31.37;-1.26%
Jun 22/2020;31.77;-9.54%
Jun 19/2020;35.12;6.62%
Jun 18/2020;32.94;-1.58%
Jun 17/2020;33.47;-0.59%
Jun 16/2020;33.67;-2.12%
Jun 15/2020;34.40;-4.68%
Jun 12/2020;36.09;-11.52%
Jun 11/2020;40.79;47.95%
Jun 10/2020;27.57;0.00%
Jun 09/2020;27.57;6.82%
Jun 08/2020;25.81;5.26%
Jun 05/2020;24.52;-5.00%
Jun 04/2020;25.81;0.58%
Jun 03/2020;25.66;-4.40%
Jun 02/2020;26.84;-4.92%
Jun 01/2020;28.23;2.62%
May 29/2020;27.51;-3.78%
May 28/2020;28.59;3.51%
May 27/2020;27.62;-1.39%
May 26/2020;28.01;-0.53%
May 22/2020;28.16;-4.64%
May 21/2020;29.53;5.50%
May 20/2020;27.99;-8.32%
May 19/2020;30.53;4.20%
May 18/2020;29.30;-8.12%
May 15/2020;31.89;-2.21%
May 14/2020;32.61;-7.57%
May 13/2020;35.28;6.78%
May 12/2020;33.04;19.84%
May 11/2020;27.57;-1.47%
May 08/2020;27.98;-11.01%
May 07/2020;31.44;-7.85%
May 06/2020;34.12;1.52%
May 05/2020;33.61;-6.56%
May 04/2020;35.97;-3.28%
May 01/2020;37.19;8.90%
Apr 30/2020;34.15;9.35%
Apr 29/2020;31.23;-6.97%
Apr 28/2020;33.57;0.84%
Apr 27/2020;33.29;-7.35%
Apr 24/2020;35.93;-13.17%
Apr 23/2020;41.38;-1.43%
Apr 22/2020;41.98;-7.55%
Apr 21/2020;45.41;3.60%
Apr 20/2020;43.83;14.89%
Apr 17/2020;38.15;-4.89%
Apr 16/2020;40.11;-1.79%
Apr 15/2020;40.84;8.16%
Apr 14/2020;37.76;-8.28%
Apr 13/2020;41.17;-1.20%
Apr 09/2020;41.67;-3.88%
Apr 08/2020;43.35;-7.17%
Apr 07/2020;46.70;3.23%
Apr 06/2020;45.24;-3.33%
Apr 03/2020;46.80;-8.07%
Apr 02/2020;50.91;-10.78%
Apr 01/2020;57.06;6.57%
Mar 31/2020;53.54;-6.20%
Mar 30/2020;57.08;-12.91%
Mar 27/2020;65.54;7.44%
Mar 26/2020;61.00;-4.61%
Mar 25/2020;63.95;3.70%
Mar 24/2020;61.67;0.13%
Mar 23/2020;61.59;-6.74%
Mar 20/2020;66.04;-8.28%
Mar 19/2020;72.00;-5.82%
Mar 18/2020;76.45;0.71%
Mar 17/2020;75.91;-8.20%
Mar 16/2020;82.69;42.99%
Mar 13/2020;57.83;-23.37%
Mar 12/2020;75.47;40.02%
Mar 11/2020;53.90;13.95%
Mar 10/2020;47.30;-13.15%
Mar 09/2020;54.46;29.85%
Mar 06/2020;41.94;5.86%
Mar 05/2020;39.62;23.85%
Mar 04/2020;31.99;-13.12%
Mar 03/2020;36.82;10.17%
Mar 02/2020;33.42;-16.68%
Feb 28/2020;40.11;2.43%
Feb 27/2020;39.16;42.09%
Feb 26/2020;27.56;-1.04%
Feb 25/2020;27.85;11.27%
Feb 24/2020;25.03;46.55%
Feb 21/2020;17.08;9.77%
Feb 20/2020;15.56;8.21%
Feb 19/2020;14.38;-3.03%
Feb 18/2020;14.83;8.41%
Feb 14/2020;13.68;-3.32%
Feb 13/2020;14.15;2.98%
Feb 12/2020;13.74;-9.49%
Feb 11/2020;15.18;0.93%
Feb 10/2020;15.04;-2.78%
Feb 07/2020;15.47;3.41%
Feb 06/2020;14.96;-1.25%
Feb 05/2020;15.15;-5.61%
Feb 04/2020;16.05;-10.68%
Feb 03/2020;17.97;-4.62%
Jan 31/2020;18.84;21.63%
Jan 30/2020;15.49;-5.49%
Jan 29/2020;16.39;0.68%
Jan 28/2020;16.28;-10.70%
Jan 27/2020;18.23;25.21%
Jan 24/2020;14.56;12.17%
Jan 23/2020;12.98;0.54%
Jan 22/2020;12.91;0.47%
Jan 21/2020;12.85;6.20%
Jan 17/2020;12.10;-1.79%
Jan 16/2020;12.32;-0.81%
Jan 15/2020;12.42;0.24%
Jan 14/2020;12.39;0.57%
Jan 13/2020;12.32;-1.91%
Jan 10/2020;12.56;0.16%
Jan 09/2020;12.54;-6.77%
Jan 08/2020;13.45;-2.47%
Jan 07/2020;13.79;-0.43%
Jan 06/2020;13.85;-1.21%
Jan 03/2020;14.02;12.43%
Jan 02/2020;12.47;-9.51%
Dec 31/2019;13.78;-7.02%
Dec 30/2019;14.82;10.35%
Dec 27/2019;13.43;6.17%
Dec 26/2019;12.65;-0.16%
Dec 24/2019;12.67;0.48%
Dec 23/2019;12.61;0.80%
Dec 20/2019;12.51;0.08%
Dec 19/2019;12.50;-0.64%
Dec 18/2019;12.58;2.36%
Dec 17/2019;12.29;1.24%
Dec 16/2019;12.14;-3.88%
Dec 13/2019;12.63;-9.40%
Dec 12/2019;13.94;-7.00%
Dec 11/2019;14.99;-4.40%
Dec 10/2019;15.68;-1.13%
Dec 09/2019;15.86;16.45%
Dec 06/2019;13.62;-6.20%
Dec 05/2019;14.52;-1.89%
Dec 04/2019;14.80;-7.27%
Dec 03/2019;15.96;7.04%
Dec 02/2019;14.91;18.15%
Nov 29/2019;12.62;7.40%
Nov 27/2019;11.75;1.82%
Nov 26/2019;11.54;-2.78%
Nov 25/2019;11.87;-3.81%
Nov 22/2019;12.34;-6.02%
Nov 21/2019;13.13;2.74%
Nov 20/2019;12.78;-0.62%
Nov 19/2019;12.86;3.21%
Nov 18/2019;12.46;3.40%
Nov 15/2019;12.05;-7.66%
Nov 14/2019;13.05;0.38%
Nov 13/2019;13.00;2.52%
Nov 12/2019;12.68;-0.08%
Nov 11/2019;12.69;5.14%
Nov 08/2019;12.07;-5.18%
Nov 07/2019;12.73;0.87%
Nov 06/2019;12.62;-3.66%
Nov 05/2019;13.10;2.10%
Nov 04/2019;12.83;4.31%
Nov 01/2019;12.30;-6.96%
Oct 31/2019;13.22;7.22%
Oct 30/2019;12.33;-6.59%
Oct 29/2019;13.20;0.69%
Oct 28/2019;13.11;3.64%
Oct 25/2019;12.65;-7.73%
Oct 24/2019;13.71;-2.14%
Oct 23/2019;14.01;-3.11%
Oct 22/2019;14.46;3.29%
Oct 21/2019;14.00;-1.75%
Oct 18/2019;14.25;3.34%
Oct 17/2019;13.79;0.80%
Oct 16/2019;13.68;1.03%
Oct 15/2019;13.54;-7.07%
Oct 14/2019;14.57;-6.48%
Oct 11/2019;15.58;-11.33%
Oct 10/2019;17.57;-5.74%
Oct 09/2019;18.64;-8.09%
Oct 08/2019;20.28;13.55%
Oct 07/2019;17.86;4.81%
Oct 04/2019;17.04;-10.88%
Oct 03/2019;19.12;-7.00%
Oct 02/2019;20.56;10.78%
Oct 01/2019;18.56;14.29%
Sep 30/2019;16.24;-5.69%
Sep 27/2019;17.22;7.16%
Sep 26/2019;16.07;0.69%
Sep 25/2019;15.96;-6.39%
Sep 24/2019;17.05;14.35%
Sep 23/2019;14.91;-2.68%
Sep 20/2019;15.32;9.04%
Sep 19/2019;14.05;0.72%
Sep 18/2019;13.95;-3.39%
Sep 17/2019;14.44;-1.57%
Sep 16/2019;14.67;6.77%
Sep 13/2019;13.74;-3.38%
Sep 12/2019;14.22;-2.67%
Sep 11/2019;14.61;-3.88%
Sep 10/2019;15.20;-0.46%
Sep 09/2019;15.27;1.80%
Sep 06/2019;15.00;-7.81%
Sep 05/2019;16.27;-6.12%
Sep 04/2019;17.33;-11.85%
Sep 03/2019;19.66;3.58%
Aug 30/2019;18.98;6.15%
Aug 29/2019;17.88;-7.60%
Aug 28/2019;19.35;-4.73%
Aug 27/2019;20.31;5.12%
Aug 26/2019;19.32;-2.77%
Aug 23/2019;19.87;19.12%
Aug 22/2019;16.68;5.57%
Aug 21/2019;15.80;-9.71%
Aug 20/2019;17.50;3.67%
Aug 19/2019;16.88;-8.61%
Aug 16/2019;18.47;-12.80%
Aug 15/2019;21.18;-4.16%
Aug 14/2019;22.10;26.14%
Aug 13/2019;17.52;-16.93%
Aug 12/2019;21.09;17.36%
Aug 09/2019;17.97;6.27%
Aug 08/2019;16.91;-13.24%
Aug 07/2019;19.49;-3.37%
Aug 06/2019;20.17;-17.97%
Aug 05/2019;24.59;39.64%
Aug 02/2019;17.61;-1.45%
Aug 01/2019;17.87;10.86%
Jul 31/2019;16.12;15.64%
Jul 30/2019;13.94;8.65%
Jul 29/2019;12.83;5.51%
Jul 26/2019;12.16;-4.55%
Jul 25/2019;12.74;5.55%
Jul 24/2019;12.07;-4.28%
Jul 23/2019;12.61;-6.80%
Jul 22/2019;13.53;-6.37%
Jul 19/2019;14.45;6.80%
Jul 18/2019;13.53;-3.15%
Jul 17/2019;13.97;8.63%
Jul 16/2019;12.86;1.42%
Jul 15/2019;12.68;2.34%
Jul 12/2019;12.39;-4.18%
Jul 11/2019;12.93;-0.77%
Jul 10/2019;13.03;-7.52%
Jul 09/2019;14.09;0.93%
Jul 08/2019;13.96;5.12%
Jul 05/2019;13.28;5.65%
Jul 03/2019;12.57;-2.78%
Jul 02/2019;12.93;-8.04%
Jul 01/2019;14.06;-6.76%
Jun 28/2019;15.08;-4.68%
Jun 27/2019;15.82;-2.41%
Jun 26/2019;16.21;-0.43%
Jun 25/2019;16.28;6.68%
Jun 24/2019;15.26;-0.91%
Jun 21/2019;15.40;4.41%
Jun 20/2019;14.75;2.93%
Jun 19/2019;14.33;-5.41%
Jun 18/2019;15.15;-1.30%
Jun 17/2019;15.35;0.46%
Jun 14/2019;15.28;-3.41%
Jun 13/2019;15.82;-0.57%
Jun 12/2019;15.91;-0.50%
Jun 11/2019;15.99;0.31%
Jun 10/2019;15.94;-2.21%
Jun 07/2019;16.30;2.32%
Jun 06/2019;15.93;-0.99%
Jun 05/2019;16.09;-5.19%
Jun 04/2019;16.97;-10.02%
Jun 03/2019;18.86;0.80%
May 31/2019;18.71;8.15%
May 30/2019;17.30;-3.35%
May 29/2019;17.90;2.29%
May 28/2019;17.50;10.41%
May 24/2019;15.85;-6.32%
May 23/2019;16.92;14.71%
May 22/2019;14.75;-1.34%
May 21/2019;14.95;-8.34%
May 20/2019;16.31;2.19%
May 17/2019;15.96;4.38%
May 16/2019;15.29;-7.00%
May 15/2019;16.44;-8.97%
May 14/2019;18.06;-12.12%
May 13/2019;20.55;28.12%
May 10/2019;16.04;-16.02%
May 09/2019;19.10;-1.55%
May 08/2019;19.40;0.41%
May 07/2019;19.32;25.13%
May 06/2019;15.44;19.97%
May 03/2019;12.87;-10.75%
May 02/2019;14.42;-2.57%
May 01/2019;14.80;12.80%
Apr 30/2019;13.12;0.08%
Apr 29/2019;13.11;2.99%
Apr 26/2019;12.73;-3.92%
Apr 25/2019;13.25;0.84%
Apr 24/2019;13.14;7.00%
Apr 23/2019;12.28;-1.13%
Apr 22/2019;12.42;2.73%
Apr 19/2019;12.09;0.00%
Apr 18/2019;12.09;-4.05%
Apr 17/2019;12.60;3.45%
Apr 16/2019;12.18;-1.14%
Apr 15/2019;12.32;2.58%
Apr 12/2019;12.01;-7.76%
Apr 11/2019;13.02;-2.11%
Apr 10/2019;13.30;-6.86%
Apr 09/2019;14.28;8.35%
Apr 08/2019;13.18;2.81%
Apr 05/2019;12.82;-5.60%
Apr 04/2019;13.58;-1.16%
Apr 03/2019;13.74;2.84%
Apr 02/2019;13.36;-0.30%
Apr 01/2019;13.40;-2.26%
Mar 29/2019;13.71;-4.99%
Mar 28/2019;14.43;-4.75%
Mar 27/2019;15.15;3.20%
Mar 26/2019;14.68;-10.10%
Mar 25/2019;16.33;-0.91%
Mar 22/2019;16.48;20.91%
Mar 21/2019;13.63;-2.01%
Mar 20/2019;13.91;2.58%
Mar 19/2019;13.56;3.51%
Mar 18/2019;13.10;1.71%
Mar 15/2019;12.88;-4.59%
Mar 14/2019;13.50;0.67%
Mar 13/2019;13.41;-2.61%
Mar 12/2019;13.77;-3.91%
Mar 11/2019;14.33;-10.72%
Mar 08/2019;16.05;-3.25%
Mar 07/2019;16.59;5.40%
Mar 06/2019;15.74;6.78%
Mar 05/2019;14.74;0.75%
Mar 04/2019;14.63;7.81%
Mar 01/2019;13.57;-8.19%
Feb 28/2019;14.78;0.54%
Feb 27/2019;14.70;-3.10%
Feb 26/2019;15.17;2.15%
Feb 25/2019;14.85;9.92%
Feb 22/2019;13.51;-6.57%
Feb 21/2019;14.46;3.14%
Feb 20/2019;14.02;-5.78%
Feb 19/2019;14.88;-0.20%
Feb 15/2019;14.91;-8.08%
Feb 14/2019;16.22;3.64%
Feb 13/2019;15.65;1.43%
Feb 12/2019;15.43;-3.38%
Feb 11/2019;15.97;1.59%
Feb 08/2019;15.72;-3.97%
Feb 07/2019;16.37;6.44%
Feb 06/2019;15.38;-1.22%
Feb 05/2019;15.57;-1.02%
Feb 04/2019;15.73;-2.54%
Feb 01/2019;16.14;-2.60%
Jan 31/2019;16.57;-6.17%
Jan 30/2019;17.66;-7.68%
Jan 29/2019;19.13;1.38%
Jan 28/2019;18.87;8.32%
Jan 25/2019;17.42;-7.78%
Jan 24/2019;18.89;-3.23%
Jan 23/2019;19.52;-6.15%
Jan 22/2019;20.80;16.85%
Jan 18/2019;17.80;-1.44%
Jan 17/2019;18.06;-5.15%
Jan 16/2019;19.04;2.37%
Jan 15/2019;18.60;-2.46%
Jan 14/2019;19.07;4.84%
Jan 11/2019;18.19;-6.72%
Jan 10/2019;19.50;-2.40%
Jan 09/2019;19.98;-2.39%
Jan 08/2019;20.47;-4.35%
Jan 07/2019;21.40;0.09%
Jan 04/2019;21.38;-15.99%
Jan 03/2019;25.45;9.60%
Jan 02/2019;23.22;-8.65%
Dec 31/2018;25.42;-10.30%
Dec 28/2018;28.34;-5.41%
Dec 27/2018;29.96;-1.48%
Dec 26/2018;30.41;-15.69%
Dec 24/2018;36.07;19.79%
Dec 21/2018;30.11;6.10%
Dec 20/2018;28.38;10.95%
Dec 19/2018;25.58;0.00%
Dec 18/2018;25.58;4.32%
Dec 17/2018;24.52;13.36%
Dec 14/2018;21.63;4.75%
Dec 13/2018;20.65;-3.77%
Dec 12/2018;21.46;-1.38%
Dec 11/2018;21.76;-3.89%
Dec 10/2018;22.64;-2.54%
Dec 07/2018;23.23;9.63%
Dec 06/2018;21.19;2.17%
Dec 04/2018;20.74;26.16%
Dec 03/2018;16.44;-9.02%
Nov 30/2018;18.07;-3.83%
Nov 29/2018;18.79;1.62%
Nov 28/2018;18.49;-2.79%
Nov 27/2018;19.02;0.63%
Nov 26/2018;18.90;-12.17%
Nov 23/2018;21.52;3.46%
Nov 21/2018;20.80;-7.47%
Nov 20/2018;22.48;11.84%
Nov 19/2018;20.10;10.80%
Nov 16/2018;18.14;-9.21%
Nov 15/2018;19.98;-5.98%
Nov 14/2018;21.25;6.14%
Nov 13/2018;20.02;-2.10%
Nov 12/2018;20.45;17.80%
Nov 09/2018;17.36;3.83%
Nov 08/2018;16.72;2.20%
Nov 07/2018;16.36;-17.83%
Nov 06/2018;19.91;-0.25%
Nov 05/2018;19.96;2.31%
Nov 02/2018;19.51;0.88%
Nov 01/2018;19.34;-8.90%
Oct 31/2018;21.23;-9.08%
Oct 30/2018;23.35;-5.47%
Oct 29/2018;24.70;2.24%
Oct 26/2018;24.16;-0.25%
Oct 25/2018;24.22;-4.00%
Oct 24/2018;25.23;21.83%
Oct 23/2018;20.71;5.45%
Oct 22/2018;19.64;-1.26%
Oct 19/2018;19.89;-0.85%
Oct 18/2018;20.06;15.29%
Oct 17/2018;17.40;-1.25%
Oct 16/2018;17.62;-17.28%
Oct 15/2018;21.30;-0.05%
Oct 12/2018;21.31;-14.69%
Oct 11/2018;24.98;8.80%
Oct 10/2018;22.96;43.95%
Oct 09/2018;15.95;1.66%
Oct 08/2018;15.69;5.87%
Oct 05/2018;14.82;4.22%
Oct 04/2018;14.22;22.48%
Oct 03/2018;11.61;-3.65%
Oct 02/2018;12.05;0.42%
Oct 01/2018;12.00;-0.99%
Sep 28/2018;12.12;-2.34%
Sep 27/2018;12.41;-3.72%
Sep 26/2018;12.89;3.78%
Sep 25/2018;12.42;1.80%
Sep 24/2018;12.20;4.45%
Sep 21/2018;11.68;-1.02%
Sep 20/2018;11.80;0.43%
Sep 19/2018;11.75;-8.13%
Sep 18/2018;12.79;-6.51%
Sep 17/2018;13.68;13.34%
Sep 14/2018;12.07;-2.43%
Sep 13/2018;12.37;-5.86%
Sep 12/2018;13.14;-0.61%
Sep 11/2018;13.22;-6.64%
Sep 10/2018;14.16;-4.84%
Sep 07/2018;14.88;1.57%
Sep 06/2018;14.65;5.32%
Sep 05/2018;13.91;5.70%
Sep 04/2018;13.16;2.33%
Aug 31/2018;12.86;-4.95%
Aug 30/2018;13.53;10.45%
Aug 29/2018;12.25;-2.00%
Aug 28/2018;12.50;2.80%
Aug 27/2018;12.16;1.42%
Aug 24/2018;11.99;-3.38%
Aug 23/2018;12.41;1.31%
Aug 22/2018;12.25;-4.74%
Aug 21/2018;12.86;2.96%
Aug 20/2018;12.49;-1.19%
Aug 17/2018;12.64;-6.02%
Aug 16/2018;13.45;-8.13%
Aug 15/2018;14.64;9.99%
Aug 14/2018;13.31;-9.95%
Aug 13/2018;14.78;12.31%
Aug 10/2018;13.16;16.77%
Aug 09/2018;11.27;3.87%
Aug 08/2018;10.85;-0.73%
Aug 07/2018;10.93;-3.02%
Aug 06/2018;11.27;-3.18%
Aug 03/2018;11.64;-4.51%
Aug 02/2018;12.19;-7.30%
Aug 01/2018;13.15;2.49%
Jul 31/2018;12.83;-10.03%
Jul 30/2018;14.26;9.44%
Jul 27/2018;13.03;7.33%
Jul 26/2018;12.14;-1.22%
Jul 25/2018;12.29;-0.97%
Jul 24/2018;12.41;-1.66%
Jul 23/2018;12.62;-1.87%
Jul 20/2018;12.86;-0.08%
Jul 19/2018;12.87;6.36%
Jul 18/2018;12.10;0.33%
Jul 17/2018;12.06;-6.00%
Jul 16/2018;12.83;5.34%
Jul 13/2018;12.18;-3.18%
Jul 12/2018;12.58;-7.70%
Jul 11/2018;13.63;7.83%
Jul 10/2018;12.64;-0.39%
Jul 09/2018;12.69;-5.09%
Jul 06/2018;13.37;-10.69%
Jul 05/2018;14.97;-7.25%
Jul 03/2018;16.14;3.46%
Jul 02/2018;15.60;-3.05%
Jun 29/2018;16.09;-4.51%
Jun 28/2018;16.85;-5.92%
Jun 27/2018;17.91;12.50%
Jun 26/2018;15.92;-8.14%
Jun 25/2018;17.33;25.85%
Jun 22/2018;13.77;-5.94%
Jun 21/2018;14.64;14.46%
Jun 20/2018;12.79;-4.19%
Jun 19/2018;13.35;8.45%
Jun 18/2018;12.31;2.75%
Jun 15/2018;11.98;-1.16%
Jun 14/2018;12.12;-6.34%
Jun 13/2018;12.94;4.86%
Jun 12/2018;12.34;-0.08%
Jun 11/2018;12.35;1.40%
Jun 08/2018;12.18;0.41%
Jun 07/2018;12.13;4.21%
Jun 06/2018;11.64;-6.13%
Jun 05/2018;12.40;-2.67%
Jun 04/2018;12.74;-5.35%
Jun 01/2018;13.46;-12.77%
May 31/2018;15.43;3.28%
May 30/2018;14.94;-12.22%
May 29/2018;17.02;28.74%
May 25/2018;13.22;5.51%
May 24/2018;12.53;-0.40%
May 23/2018;12.58;-4.84%
May 22/2018;13.22;1.07%
May 21/2018;13.08;-2.53%
May 18/2018;13.42;-0.07%
